pollster,pollster_key,field_dates,start_date,end_date,published_date,sample_size,population,dem_pct,rep_pct,margin_a,rcp_dem_pct,rcp_rep_pct,official_dem_pct,official_rep_pct,use_official_override,date_exact,sample_exact,population_exact,date_inferred,sample_inferred,population_inferred,partisan_flag,source_family,topline_source,metadata_source,notes,label_a,label_b
NY Times/Siena,ny times/siena,1/12 - 1/17,2026-01-12,2026-01-17,2026-01-17,1625.0,RV,48.0,43.0,5.0,48.0,43.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Morning Consult,morning consult,1/16 - 1/18,2026-01-16,2026-01-18,2026-01-18,2201.0,RV,45.0,43.0,2.0,45.0,43.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Economist/YouGov,economist/yougov,1/16 - 1/19,2026-01-16,2026-01-19,2026-01-19,1549.0,RV,43.0,39.0,4.0,43.0,39.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Emerson,emerson,1/17 - 1/19,2026-01-17,2026-01-19,2026-01-19,1000.0,LV,48.0,42.0,6.0,48.0,42.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Quantus Insights,quantus insights,1/20 - 1/22,2026-01-20,2026-01-22,2026-01-22,1000.0,RV,47.0,41.0,6.0,47.0,41.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Big Data Poll,big data poll,1/22 - 1/24,2026-01-22,2026-01-24,2026-01-24,2909.0,LV,48.0,44.0,4.0,48.0,44.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Morning Consult,morning consult,1/23 - 1/25,2026-01-23,2026-01-25,2026-01-25,2201.0,RV,45.0,43.0,2.0,45.0,43.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Reuters/Ipsos,reuters/ipsos,1/23 - 1/25,2026-01-23,2026-01-25,2026-01-25,906.0,RV,41.0,37.0,4.0,41.0,37.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
Economist/YouGov,economist/yougov,1/23 - 1/26,2026-01-23,2026-01-26,2026-01-26,1520.0,RV,43.0,38.0,5.0,43.0,38.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
FOX News,fox news,1/23 - 1/26,2026-01-23,2026-01-26,2026-01-26,1005.0,RV,52.0,46.0,6.0,52.0,46.0,,,False,True,True,True,False,False,False,False,rcp_historical_archive,rcp_archive,rcp_archive,,Democrat,Republican
