district_code,incumbent_label,party_label,pres24_dem_pct,pres24_gop_pct,pres24_dem_margin,pres20_dem_pct,pres20_gop_pct,pres20_dem_margin
FL-24,Frederica Wilson,(D),65.0,,,74.0,,
FL-25,Debbie Wasserman Schultz,(D),52.0,,,60.0,,
FL-26,Mario Diaz-Balart,(R),32.0,,,41.0,,
FL-27,Maria Elvira Salazar,(R),42.0,,,49.6,,
FL-28,Carlos Gimenez,(R),37.0,,,47.0,,
GA-01,Buddy Carter,(R),42.0,,,43.0,,
GA-02,Sanford Bishop,(D),54.0,,,55.0,,
GA-03,Brian Jack,(R),35.0,,,34.0,,
GA-04,Hank Johnson,(D),76.0,,,78.0,,
GA-05,Nikema Williams,(D),85.0,,,86.0,,
GA-06,Lucy McBath,(D),75.0,,,74.0,,
GA-07,Rich McCormick,(R),38.0,,,40.0,,
GA-08,Austin Scott,(R),34.0,,,36.0,,
GA-09,Andrew Clyde,(R),33.0,,,33.0,,
GA-10,Mike Collins,(R),39.0,,,39.0,,
GA-11,Barry Loudermilk,(R),38.0,,,38.0,,
GA-12,Rick Allen,(R),43.0,,,44.0,,
GA-13,David Scott,(D),71.0,,,70.0,,
GA-14,VACANT (Greene),(R),31.0,,,31.0,,
HI-01,Ed Case,(D),62.0,,,64.0,,
HI-02,Jill Tokuda,(D),60.0,,,64.0,,
IA-01,Mariannette Miller-Meeks,(R),45.0,,,48.0,,
IA-02,Ashley Hinson,(R),44.0,,,47.0,,
IA-03,Zach Nunn,(R),47.0,,,48.9,,
IA-04,Randy Feenstra,(R),34.0,,,36.0,,
ID-01,Russ Fulcher,(R),26.0,,,30.0,,
ID-02,Mike Simpson,(R),35.0,,,37.0,,
IL-01,Jonathan Jackson,(D),65.0,,,70.0,,
IL-02,Robin Kelly,(D),66.0,,,69.0,,
IL-03,Delia Ramirez,(D),65.0,,,70.0,,
IL-04,Chuy Garcia,(D),63.0,,,72.0,,
IL-05,Mike Quigley,(D),68.0,,,69.0,,
IL-06,Sean Casten,(D),52.0,,,55.0,,
IL-07,Danny Davis,(D),82.0,,,86.0,,
IL-08,Raja Krishnamoorthi,(D),53.0,,,57.0,,
IL-09,Jan Schakowsky,(D),68.0,,,70.0,,
IL-10,Brad Schneider,(D),60.0,,,62.0,,
IL-11,Bill Foster,(D),55.0,,,57.0,,
IL-12,Mike Bost,(R),28.0,,,28.0,,
IL-13,Nikki Budzinski,(D),54.0,,,54.0,,
IL-14,Lauren Underwood,(D),52.0,,,55.0,,
IL-15,Mary Miller,(R),29.0,,,30.0,,
IL-16,Darin LaHood,(R),38.0,,,38.0,,
IL-17,Eric Sorensen,(D),52.0,,,53.0,,
IN-01,Frank Mrvan,(D),49.4,,,53.0,,
IN-02,Rudy Yakym,(R),36.0,,,38.0,,
IN-03,Marlin Stutzman,(R),34.0,,,34.0,,
IN-04,Jim Baird,(R),34.0,,,34.0,,
IN-05,Victoria Spartz,(R),41.0,,,41.0,,
IN-06,Jefferson Shreve,(R),33.0,,,33.0,,
IN-07,Andre Carson,(D),70.0,,,70.0,,
IN-08,Mark Messmer,(R),31.0,,,33.0,,
IN-09,Erin Houchin,(R),34.0,,,35.0,,
KS-01,Tracey Mann,(R),33.0,,,34.0,,
KS-02,Derek Schmidt,(R),39.0,,,41.0,,
KS-03,Sharice Davids,(D),51.0,,,51.0,,
KS-04,Ron Estes,(R),37.0,,,38.0,,
KY-01,James Comer,(R),26.0,,,28.0,,
KY-02,Brett Guthrie,(R),29.0,,,31.0,,
KY-03,Morgan McGarvey,(D),59.0,,,60.0,,
KY-04,Thomas Massie,(R),31.0,,,33.0,,
KY-05,Hal Rogers,(R),17.0,,,20.0,,
KY-06,Andy Barr,(R),42.0,,,44.0,,
LA-01,Steve Scalise,(R),30.0,,,30.0,,
LA-02,Troy Carter,(D),65.0,,,67.0,,
LA-03,Clay Higgins,(R),27.0,,,28.0,,
LA-04,Mike Johnson,(R),23.0,,,25.0,,
LA-05,Julia Letlow,(R),31.0,,,32.0,,
LA-06,Cleo Fields,(D),57.0,,,59.0,,
MA-01,Richard Neal,(D),56.0,,,60.0,,
MA-02,Jim McGovern,(D),61.0,,,64.0,,
MA-03,Lori Trahan,(D),58.0,,,63.0,,
MA-04,Jake Auchincloss,(D),59.0,,,63.0,,
