gop_seats,frequency,probability
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,1,2e-05
138,0,0.0
139,1,2e-05
140,0,0.0
141,0,0.0
142,0,0.0
143,0,0.0
144,1,2e-05
145,0,0.0
146,0,0.0
147,1,2e-05
148,1,2e-05
149,3,6e-05
150,2,4e-05
151,0,0.0
152,2,4e-05
153,3,6e-05
154,1,2e-05
155,6,0.00012
156,5,0.0001
157,4,8e-05
158,11,0.00022
159,12,0.00024
160,13,0.00026
161,16,0.00032
162,7,0.00014
163,22,0.00044
164,13,0.00026
165,21,0.00042
166,31,0.00062
167,24,0.00048
168,43,0.00086
169,62,0.00124
170,46,0.00092
171,61,0.00122
172,72,0.00144
173,72,0.00144
174,103,0.00206
175,135,0.0027
176,137,0.00274
177,151,0.00302
178,178,0.00356
179,187,0.00374
180,202,0.00404
181,306,0.00612
182,300,0.006
183,348,0.00696
184,368,0.00736
185,472,0.00944
186,496,0.00992
187,577,0.01154
188,632,0.01264
189,657,0.01314
190,737,0.01474
191,809,0.01618
192,914,0.01828
193,1014,0.02028
194,1051,0.02102
195,1149,0.02298
196,1216,0.02432
197,1354,0.02708
198,1403,0.02806
199,1475,0.0295
200,1519,0.03038
201,1537,0.03074
202,1598,0.03196
203,1608,0.03216
204,1665,0.0333
205,1690,0.0338
206,1592,0.03184
207,1640,0.0328
208,1538,0.03076
209,1580,0.0316
210,1485,0.0297
211,1417,0.02834
212,1402,0.02804
213,1336,0.02672
214,1220,0.0244
215,1069,0.02138
216,994,0.01988
217,928,0.01856
218,900,0.018
219,809,0.01618
220,698,0.01396
221,621,0.01242
