as_of_date,gop_control_prob,expected_gop_seats,median_gop_seats,gop_seat_q05,gop_seat_q25,gop_seat_q75,gop_seat_q95,dem_control_prob,generic_ballot_margin_dem,national_mean_margin_dem,approval_adjustment_to_national_margin,approval_implied_generic_margin_dem,trump_net_approval,trump_approve_pct,trump_disapprove_pct,national_election_day_sd,days_to_election,districts_polled,districts_open,visible_national_poll_rows,is_observed_run,history_stage,filtered_generic_sd,filtered_national_sd,exact_date_rows_cumulative,inferred_date_rows_cumulative,poll_rows_today
2025-01-23,0.44133333333333336,215.59,213.5,177.0,199.0,231.0,261.04999999999995,0.5586666666666666,-2.2666625454245146,-0.6165880287469805,1.6500745166775341,7.315000000000001,-20.900000000000006,38.8,59.7,5.068507790461246,649,0,81,1,False,observed_poll_filter,2.7366732975482506,2.551699673152454,1,0,1
2025-01-24,0.44066666666666665,215.578,213.0,177.0,199.0,231.0,261.04999999999995,0.5593333333333333,-2.2666625454245146,-0.6113207504872212,1.6553417949372933,7.315000000000001,-20.900000000000006,38.8,59.7,5.067609033609589,648,0,81,1,False,observed_poll_filter,2.7419483469813244,2.5555745572222124,1,0,0
2025-01-25,0.44066666666666665,215.55733333333333,213.0,177.0,199.0,231.0,261.04999999999995,0.5593333333333333,-2.2666625454245146,-0.6060604634649721,1.6606020819595426,7.315000000000001,-20.900000000000006,38.8,59.7,5.066707525184522,647,0,81,1,False,observed_poll_filter,2.7472132675701784,2.559438443440565,1,0,0
2025-01-26,0.44066666666666665,215.53666666666666,213.0,177.0,199.0,231.0,261.04999999999995,0.5593333333333333,-2.2666625454245146,-0.6008071537703011,1.6658553916542136,7.315000000000001,-20.900000000000006,38.8,59.7,5.065803268875359,646,0,81,1,False,observed_poll_filter,2.752468117438169,2.5632913917360765,1,0,0
2025-01-27,0.44066666666666665,215.52066666666667,213.0,177.0,199.0,231.0,261.04999999999995,0.5593333333333333,-2.2666625454245146,-0.595560807530154,1.6711017378943607,7.315000000000001,-20.900000000000006,38.8,59.7,5.064896268355894,645,0,81,1,False,observed_poll_filter,2.7577129541548766,2.5671334615102235,1,0,0
2025-01-28,0.44,215.50466666666668,213.0,177.0,199.0,231.0,261.04999999999995,0.56,-2.2666625454245146,-0.5903214109082283,1.6763411345162864,7.315000000000001,-20.900000000000006,38.8,59.7,5.063986527284453,644,0,81,1,False,observed_poll_filter,2.7629478347434677,2.57096471164395,1,0,0
2025-01-29,0.44,215.488,213.0,177.0,199.0,231.0,261.04999999999995,0.56,-2.2666625454245146,-0.5850889501048566,1.681573595319658,7.315000000000001,-20.900000000000006,38.8,59.7,5.063074049303946,643,0,81,1,False,observed_poll_filter,2.7681728156879255,2.574785200504123,1,0,0
2025-01-30,0.44,215.47533333333334,213.0,177.0,199.0,231.0,261.04999999999995,0.56,-2.2666625454245146,-0.5798634113568818,1.6867991340676327,7.315000000000001,-20.900000000000006,38.8,59.7,5.062158838041915,642,0,81,1,False,observed_poll_filter,2.773387952940161,2.5785949859498816,1,0,0
2025-01-31,0.43933333333333335,215.46,213.0,177.0,199.0,231.0,261.04999999999995,0.5606666666666666,-2.2666625454245146,-0.5746447809375366,1.692017764486978,7.315000000000001,-20.900000000000006,38.8,59.7,5.061240897110588,641,0,81,1,False,observed_poll_filter,2.7785933019270055,2.5823941253388853,1,0,0
2025-02-01,0.4226666666666667,214.49133333333333,213.0,179.0,199.0,228.0,257.0,0.5773333333333334,-0.9121198570233975,-0.25627076413196037,0.6558490928914371,7.315000000000001,-20.900000000000006,38.8,59.7,4.686899984326116,640,0,81,2,False,observed_poll_filter,1.7659110439290944,1.7460044281376115,2,0,1
2025-02-02,0.422,214.474,213.0,179.0,199.0,228.0,257.0,0.578,-0.9121198570233975,-0.25068137504605376,0.6614384819773438,7.315000000000001,-20.900000000000006,38.8,59.7,4.686426074830618,639,0,81,2,False,observed_poll_filter,1.7740749181110542,1.7529943966973525,2,0,0
2025-02-03,0.422,214.45533333333333,212.5,179.0,199.0,228.0,257.0,0.578,-0.9121198570233975,-0.24510023245532375,0.6670196245680737,7.315000000000001,-20.900000000000006,38.8,59.7,4.685948267090292,638,0,81,2,False,observed_poll_filter,1.7822013957661305,1.7599463519796574,2,0,0
2025-02-04,0.42133333333333334,214.442,212.5,179.0,199.0,228.0,257.0,0.5786666666666667,-0.9121198570233975,-0.23952731812310282,0.6725925389002947,7.315000000000001,-20.900000000000006,38.8,59.7,4.685466568428187,637,0,81,2,False,observed_poll_filter,1.790290986144639,1.7668607652721846,2,0,0
2025-02-05,0.42933333333333334,214.972,213.0,179.0,199.75,229.0,257.0,0.5706666666666667,-0.9363630543992244,-0.43237931824648135,0.5039837361527431,7.315000000000001,-20.900000000000006,38.8,59.7,4.602442758654816,636,0,81,3,False,observed_poll_filter,1.5303194613790656,1.5425885215099155,3,0,1
