as_of_date,approve_avg,approve_sd,poll_rows_cumulative,disapprove_avg,disapprove_sd,net_approval,net_approval_sd,approve_low_90,approve_high_90,disapprove_low_90,disapprove_high_90
2025-01-21,56.0,2.191500342640288,1,40.0,2.191500342640288,16.0,2.4008020808817028,52.39498193635673,59.60501806364327,36.39498193635673,43.60501806364327
2025-01-22,56.0,2.19808410935353,1,40.0,2.19808410935353,16.0,2.406813376970868,52.384151640113444,59.615848359886556,36.384151640113444,43.615848359886556
2025-01-23,56.0,2.204648214975011,1,40.0,2.204648214975011,16.0,2.412809696508598,52.37335368636611,59.62664631363389,36.37335368636611,43.62664631363389
2025-01-24,56.0,2.2111928346013836,1,40.0,2.2111928346013836,16.0,2.4187911508780404,52.36258778708073,59.63741221291927,36.36258778708073,43.63741221291927
2025-01-25,56.0,2.217718140745686,1,40.0,2.217718140745686,16.0,2.4247578500885227,52.351853658473345,59.648146341526655,36.351853658473345,43.648146341526655
2025-01-26,56.0,2.224224303390398,1,40.0,2.224224303390398,16.0,2.4307099027991628,52.341151020922794,59.658848979077206,36.341151020922794,43.658848979077206
2025-01-27,54.80972383652795,1.4867487619934048,3,41.613266960556686,1.4867487619934048,12.979224395516209,1.54327456229564,52.3640221230488,57.255425550007104,39.16756524707753,44.05896867403584
2025-01-28,54.442344778104555,1.3359390721399091,4,41.285769203721046,1.3359390721399091,12.98369506333259,1.3754505244686903,52.24472500443441,56.6399645517747,39.0881494300509,43.48338897739119
2025-01-29,54.442344778104555,1.3467119975963833,4,41.285769203721046,1.3467119975963833,12.98369506333259,1.3859163557953977,52.227003542058505,56.657686014150606,39.070427967674995,43.501110439767096
2025-01-30,54.442344778104555,1.357399427018459,4,41.285769203721046,1.357399427018459,12.98369506333259,1.3963037439114727,52.20942272065919,56.67526683554992,39.05284714627568,43.51869126116641
2025-01-31,54.442344778104555,1.3680033642027496,4,41.285769203721046,1.3680033642027496,12.98369506333259,1.4066144266504574,52.191979243991035,56.692710312218075,39.035403669607526,43.536134737834566
2025-02-01,54.442344778104555,1.37852573587512,4,41.285769203721046,1.37852573587512,12.98369506333259,1.4168500786114229,52.174669942589986,56.710019613619124,39.01809436820648,43.553444039235615
2025-02-02,54.34527899710173,1.2271481370669166,5,41.442496203764215,1.2271481370669166,12.758594574683698,1.2531479301324195,52.326620311626655,56.363937682576804,39.42383751828913,43.461154889239296
2025-02-03,54.47136917331585,1.1131993583177322,6,41.54986369556031,1.1131993583177322,12.806650466990114,1.1317754462516927,52.64015622888318,56.30258211774852,39.71865075112764,43.38107663999298
2025-02-04,54.28589173785156,1.0527380530695603,7,41.48054913470295,1.0527380530695603,12.702055578818202,1.0676972938504,52.55413764055213,56.01764583515099,39.74879503740352,43.21230323200238
2025-02-05,54.28589173785156,1.0663758288617986,7,41.48054913470295,1.0663758288617986,12.702055578818202,1.0811463875421623,52.5317034993739,56.04007997632922,39.72636089622529,43.23473737318061
2025-02-06,54.28589173785156,1.0798413811207126,7,41.48054913470295,1.0798413811207126,12.702055578818202,1.0944302222140374,52.50955266590798,56.06223080979513,39.70421006275937,43.25688820664652
2025-02-07,54.28589173785156,1.0931410743269543,7,41.48054913470295,1.0931410743269543,12.702055578818202,1.107554744152842,52.487674670583715,56.0841088051194,39.682332067435105,43.27876620197079
2025-02-08,54.28589173785156,1.1062808903622479,7,41.48054913470295,1.1062808903622479,12.702055578818202,1.1205255513800063,52.466059673205656,56.10572380249746,39.660717070057046,43.30038119934885
2025-02-09,54.28589173785156,1.119266459955219,7,41.48054913470295,1.119266459955219,12.702055578818202,1.1333479215560713,52.444698411225225,56.12708506447789,39.639355808076616,43.32174246132928
2025-02-10,53.93761229069846,0.9845612501101241,9,42.2222776451026,0.9845612501101241,11.617402208367707,0.9936786605325622,52.318009034267305,55.557215547129616,40.602674388671446,43.841880901533756
