gop_seats,probability,dem_seats
41,5e-05,59
42,0.00010833333333333333,58
43,0.00035,57
44,0.001375,56
45,0.004733333333333333,55
46,0.014891666666666666,54
47,0.03858333333333333,53
48,0.07513333333333333,52
49,0.1221,51
50,0.15818333333333334,50
51,0.16719166666666666,49
52,0.15179166666666666,48
53,0.11774166666666666,47
54,0.07659166666666667,46
55,0.04105,45
56,0.019625,44
57,0.0075,43
58,0.002075,42
59,0.0006916666666666667,41
60,0.00019166666666666667,40
61,3.3333333333333335e-05,39
62,8.333333333333334e-06,38
