as_of_date,gop_control_prob,dem_control_prob,tied_chamber_prob,expected_gop_seats,median_gop_seats,gop_seat_q05,gop_seat_q25,gop_seat_q75,gop_seat_q95,expected_dem_seats,national_mean_margin_dem,generic_ballot_margin_dem,trump_approve_pct,trump_disapprove_pct,trump_net_approval,visible_general_poll_rows,visible_primary_poll_rows,states_with_general_polls,states_with_primary_polls,days_to_election
2025-02-14,0.9221666666666667,0.07783333333333334,0.07566666666666666,52.912333333333336,53.0,49.0,51.0,55.0,57.0,47.087666666666664,-0.1463796508323432,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,627
2025-02-15,0.918,0.082,0.07483333333333334,52.87383333333333,53.0,49.0,51.0,54.0,57.0,47.12616666666667,-0.1416642909010594,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,626
2025-02-16,0.928,0.072,0.07416666666666667,52.906166666666664,53.0,49.0,51.0,54.0,57.0,47.093833333333336,-0.1369560561999613,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,625
2025-02-17,0.9266666666666666,0.07333333333333333,0.07916666666666666,52.9115,53.0,49.0,51.0,55.0,57.0,47.0885,-0.1322549305911793,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,624
2025-02-18,0.9253333333333333,0.07466666666666667,0.07916666666666666,52.89833333333333,53.0,49.0,51.0,54.0,57.0,47.10166666666667,-0.1275608979855404,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,623
2025-02-19,0.9206666666666666,0.07933333333333334,0.0785,52.8565,53.0,49.0,51.0,54.0,57.0,47.1435,-0.1228739423423863,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,622
2025-02-20,0.9265,0.0735,0.0755,52.9315,53.0,49.0,51.0,55.0,57.0,47.0685,-0.1181940476693888,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,621
2025-02-21,0.917,0.083,0.07583333333333334,52.860166666666665,53.0,49.0,51.0,55.0,57.0,47.139833333333335,-0.1135211980223691,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,620
2025-02-22,0.9215,0.0785,0.08066666666666666,52.875,53.0,49.0,51.0,55.0,57.0,47.125,-0.1088553775051167,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,619
2025-02-23,0.9236666666666666,0.07633333333333334,0.08,52.891333333333336,53.0,49.0,51.0,54.0,57.0,47.108666666666664,-0.1041965702692084,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,618
2025-02-24,0.9168333333333333,0.08316666666666667,0.07116666666666667,52.87233333333333,53.0,49.0,51.0,55.0,57.0,47.12766666666667,-0.0995447605138296,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,617
2025-02-25,0.923,0.077,0.07433333333333333,52.9165,53.0,49.0,51.0,54.0,57.0,47.0835,-0.0948999324855958,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,616
2025-02-26,0.9213333333333333,0.07866666666666666,0.07383333333333333,52.91566666666667,53.0,49.0,51.0,55.0,57.0,47.08433333333333,-0.0902620704783732,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,615
2025-02-27,0.9195,0.0805,0.07233333333333333,52.879666666666665,53.0,49.0,51.0,55.0,57.0,47.120333333333335,-0.0856311588331042,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,614
2025-02-28,0.9251666666666667,0.07483333333333334,0.074,52.88166666666667,53.0,49.0,51.0,54.0,57.0,47.11833333333333,-0.0810071819376291,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,613
2025-03-01,0.9245,0.0755,0.07516666666666667,52.9015,53.0,49.0,51.0,55.0,57.0,47.0985,-0.0763901242265113,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,612
2025-03-02,0.9281666666666667,0.07183333333333333,0.07233333333333333,52.934666666666665,53.0,49.0,51.0,55.0,57.0,47.065333333333335,-0.071779970180863,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,611
2025-03-03,0.916,0.084,0.078,52.79783333333334,53.0,49.0,51.0,54.0,57.0,47.20216666666666,0.465572485961894,0.1234313203239942,39.5,56.9,-17.4,1,0,1,0,610
2025-03-04,0.917,0.083,0.08016666666666666,52.7945,53.0,49.0,51.0,54.0,57.0,47.2055,0.4698255196293264,0.1234313203239942,39.5,56.9,-17.4,2,0,2,0,609
2025-03-05,0.9183333333333333,0.08166666666666667,0.07666666666666666,52.7825,53.0,49.0,51.0,54.0,56.0,47.2175,0.4740721261082826,0.1234313203239942,39.5,56.9,-17.4,2,0,2,0,608
2025-03-06,0.9166666666666666,0.08333333333333333,0.08383333333333333,52.783833333333334,53.0,49.0,51.0,54.0,56.0,47.216166666666666,0.4783123199569223,0.1234313203239942,39.5,56.9,-17.4,2,0,2,0,607
2025-03-07,0.918,0.082,0.07683333333333334,52.79,53.0,49.0,51.0,54.0,57.0,47.21,0.482546115689471,0.1234313203239942,39.5,56.9,-17.4,2,0,2,0,606
2025-03-08,0.92,0.08,0.07933333333333334,52.798833333333334,53.0,49.0,51.0,54.0,57.0,47.201166666666666,0.4867735277763857,0.1234313203239942,39.5,56.9,-17.4,3,0,3,0,605
2025-03-09,0.917,0.083,0.07683333333333334,52.84166666666667,53.0,49.0,51.0,54.0,57.0,47.15833333333333,0.4909945706445195,0.1234313203239942,39.5,56.9,-17.4,3,0,3,0,604
2025-03-10,0.9226666666666666,0.07733333333333334,0.08083333333333333,52.85783333333333,53.0,49.0,51.0,54.0,57.0,47.14216666666667,0.4952092586772861,0.1234313203239942,39.5,56.9,-17.4,3,0,3,0,603
2025-03-11,0.9203333333333333,0.07966666666666666,0.08166666666666667,52.77916666666667,53.0,49.0,51.0,54.0,56.05000000000018,47.22083333333333,0.5796518580120389,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,602
2025-03-12,0.9141666666666667,0.08583333333333333,0.08083333333333333,52.81616666666667,53.0,49.0,51.0,54.0,57.0,47.18383333333333,0.583838185044295,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,601
2025-03-13,0.9168333333333333,0.08316666666666667,0.07783333333333334,52.7965,53.0,49.0,51.0,54.0,57.0,47.2035,0.5880181560245141,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,600
2025-03-14,0.9113333333333333,0.08866666666666667,0.07933333333333334,52.8,53.0,49.0,51.0,54.0,57.0,47.2,0.5921917854171973,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,599
2025-03-15,0.9193333333333333,0.08066666666666666,0.07333333333333333,52.86233333333333,53.0,49.0,51.0,54.0,57.0,47.13766666666667,0.5963590876429882,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,598
2025-03-16,0.911,0.089,0.07633333333333334,52.794,53.0,49.0,51.0,54.0,57.0,47.206,0.6005200770788408,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,597
2025-03-17,0.9213333333333333,0.07866666666666666,0.07683333333333334,52.86083333333333,53.0,49.0,51.0,54.0,57.0,47.13916666666667,0.6046747680581849,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,596
2025-03-18,0.9208333333333333,0.07916666666666666,0.07683333333333334,52.8105,53.0,49.0,51.0,54.0,57.0,47.1895,0.6088231748710903,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,595
2025-03-19,0.9168333333333333,0.08316666666666667,0.0775,52.809666666666665,53.0,49.0,51.0,54.0,57.0,47.190333333333335,0.6129653117644304,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,594
2025-03-20,0.9175,0.0825,0.08033333333333334,52.820166666666665,53.0,49.0,51.0,54.0,57.0,47.179833333333335,0.6171011929420457,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,593
2025-03-21,0.9173333333333333,0.08266666666666667,0.076,52.833333333333336,53.0,49.0,51.0,54.0,57.0,47.166666666666664,0.6212308325649059,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,592
2025-03-22,0.9131666666666667,0.08683333333333333,0.082,52.753,53.0,49.0,51.0,54.0,57.0,47.247,0.6253542447512718,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,591
2025-03-23,0.9163333333333333,0.08366666666666667,0.078,52.82483333333333,53.0,49.0,51.0,54.0,57.0,47.17516666666667,0.6294714435768559,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,590
2025-03-24,0.9166666666666666,0.08333333333333333,0.07716666666666666,52.78966666666667,53.0,49.0,51.0,54.0,57.0,47.21033333333333,0.6335824430749827,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,589
2025-03-25,0.9143333333333333,0.08566666666666667,0.0835,52.74433333333333,53.0,49.0,51.0,54.0,57.0,47.25566666666667,0.637687257236748,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,588
2025-03-26,0.9155,0.0845,0.08466666666666667,52.82666666666667,53.0,49.0,51.0,54.0,57.0,47.17333333333333,0.6417859000111781,0.2717792007407257,39.5,56.9,-17.4,3,0,3,0,587
2025-03-27,0.9223333333333333,0.07766666666666666,0.07783333333333334,52.86666666666667,53.0,49.0,51.0,54.0,57.0,47.13333333333333,0.3775806992257207,0.0526725516893875,39.5,56.9,-17.4,3,0,3,0,586
2025-03-28,0.9173333333333333,0.08266666666666667,0.07766666666666666,52.82066666666667,53.0,49.0,51.0,54.0,57.0,47.17933333333333,0.3819164170736597,0.0526725516893875,39.5,56.9,-17.4,3,0,3,0,585
2025-03-29,0.9215,0.0785,0.0735,52.876333333333335,53.0,49.0,51.0,54.0,57.0,47.123666666666665,0.3862455583063003,0.0526725516893875,39.5,56.9,-17.4,3,0,3,0,584
2025-03-30,0.919,0.081,0.08266666666666667,52.80533333333333,53.0,49.0,51.0,54.0,57.0,47.19466666666667,0.3905681378758686,0.0526725516893875,39.5,56.9,-17.4,3,0,3,0,583
2025-03-31,0.9191666666666667,0.08083333333333333,0.0825,52.79266666666667,53.0,49.0,51.0,54.0,57.0,47.20733333333333,0.3948841706893,0.0526725516893875,39.5,56.9,-17.4,3,0,3,0,582
2025-04-01,0.9198333333333333,0.08016666666666666,0.0805,52.84616666666667,53.0,49.0,51.0,54.0,57.0,47.15383333333333,0.5161117764463017,0.2459594232862983,39.5,56.9,-17.4,3,0,3,0,581
2025-04-02,0.9228333333333333,0.07716666666666666,0.0825,52.774,53.0,49.0,51.0,54.0,57.0,47.226,0.5203762579181488,0.2459594232862983,39.5,56.9,-17.4,3,0,3,0,580
2025-04-03,0.9213333333333333,0.07866666666666666,0.07883333333333334,52.83133333333333,53.0,49.0,51.0,54.0,57.0,47.16866666666667,0.6045930150869496,0.3780311995071154,39.5,56.9,-17.4,3,0,3,0,579
2025-04-04,0.9198333333333333,0.08016666666666666,0.0825,52.81766666666667,53.0,49.0,51.0,54.0,57.0,47.18233333333333,0.6088186555401033,0.3780311995071154,39.5,56.9,-17.4,3,0,3,0,578
2025-04-05,0.9215,0.0785,0.08133333333333333,52.8135,53.0,49.0,51.0,54.0,57.0,47.1865,0.613037790626338,0.3780311995071154,39.5,56.9,-17.4,3,0,3,0,577
2025-04-06,0.9225,0.0775,0.07866666666666666,52.82966666666667,53.0,49.0,51.0,54.0,57.0,47.17033333333333,0.6172504353566025,0.3780311995071154,39.5,56.9,-17.4,3,0,3,0,576
2025-04-07,0.92,0.08,0.08166666666666667,52.825,53.0,49.0,51.0,54.0,57.0,47.175,0.621456604695698,0.3780311995071154,39.5,56.9,-17.4,3,0,3,0,575
2025-04-08,0.9105,0.0895,0.081,52.73916666666667,53.0,49.0,51.0,54.0,56.0,47.26083333333333,0.6850071541135294,0.4803754923196545,39.5,56.9,-17.4,3,0,3,0,574
2025-04-09,0.9086666666666666,0.09133333333333334,0.0795,52.75566666666667,53.0,49.0,51.0,54.0,57.0,47.24433333333333,0.689184649731336,0.4803754923196545,39.5,56.9,-17.4,3,0,3,0,573
2025-04-10,0.9188333333333333,0.08116666666666666,0.074,52.8105,53.0,49.0,51.0,54.0,57.0,47.1895,0.6933556927996627,0.4803754923196545,39.5,56.9,-17.4,3,0,3,0,572
2025-04-11,0.9171666666666667,0.08283333333333333,0.0785,52.81733333333333,53.0,49.0,51.0,54.0,57.0,47.18266666666667,0.6975202982568607,0.4803754923196545,39.5,56.9,-17.4,3,0,3,0,571
2025-04-12,0.919,0.081,0.077,52.8015,53.0,49.0,51.0,54.0,57.0,47.1985,0.7016784809952054,0.4803754923196545,39.5,56.9,-17.4,3,0,3,0,570
2025-04-13,0.9126666666666666,0.08733333333333333,0.07866666666666666,52.8045,53.0,49.0,51.0,54.0,57.0,47.1955,0.8241037095652339,0.6245168419578782,39.5,56.9,-17.4,3,0,3,0,569
2025-04-14,0.9196666666666666,0.08033333333333334,0.07783333333333334,52.8135,53.0,49.0,51.0,54.0,57.0,47.1865,0.8281735333386463,0.6245168419578782,39.5,56.9,-17.4,3,0,3,0,568
2025-04-15,0.9115,0.0885,0.07866666666666666,52.77616666666667,53.0,49.0,51.0,54.0,56.05000000000018,47.22383333333333,0.8322370711264611,0.6245168419578782,39.5,56.9,-17.4,3,0,3,0,567
2025-04-16,0.9138333333333334,0.08616666666666667,0.082,52.679833333333335,53.0,49.0,51.0,54.0,56.0,47.320166666666665,1.2601676185956283,1.086011113572065,39.5,56.9,-17.4,3,0,3,0,566
2025-04-17,0.9131666666666667,0.08683333333333333,0.07183333333333333,52.79083333333333,53.0,49.0,51.0,54.0,56.0,47.20916666666667,1.2639070601138436,1.086011113572065,39.5,56.9,-17.4,3,0,3,0,565
2025-04-18,0.9148333333333334,0.08516666666666667,0.07966666666666666,52.72,53.0,49.0,51.0,54.0,57.0,47.28,1.267640715673608,1.086011113572065,39.5,56.9,-17.4,3,0,3,0,564
2025-04-19,0.912,0.088,0.08283333333333333,52.7105,53.0,49.0,51.0,54.0,57.0,47.2895,1.2713685986932768,1.086011113572065,39.5,56.9,-17.4,3,0,3,0,563
2025-04-20,0.911,0.089,0.083,52.6815,53.0,49.0,51.0,54.0,56.0,47.3185,1.275090722549745,1.086011113572065,39.5,56.9,-17.4,3,0,3,0,562
2025-04-21,0.9063333333333333,0.09366666666666666,0.08916666666666667,52.64033333333333,53.0,49.0,51.0,54.0,56.0,47.35966666666667,1.9223949320229288,1.774841001083579,39.5,56.9,-17.4,3,0,3,0,561
2025-04-22,0.9076666666666666,0.09233333333333334,0.081,52.721333333333334,53.0,49.0,51.0,54.0,57.0,47.278666666666666,1.9256236868198655,1.774841001083579,39.5,56.9,-17.4,3,0,3,0,560
2025-04-23,0.905,0.095,0.083,52.648,53.0,49.0,51.0,54.0,56.0,47.352,1.9288474426847029,1.774841001083579,39.5,56.9,-17.4,3,0,3,0,559
2025-04-24,0.9105,0.0895,0.08966666666666667,52.6895,53.0,49.0,51.0,54.0,57.0,47.3105,2.0310647044465866,1.892297286293264,39.5,56.9,-17.4,3,0,3,0,558
2025-04-25,0.903,0.097,0.08983333333333333,52.609833333333334,53.0,49.0,51.0,54.0,56.0,47.390166666666666,2.034212966932754,1.892297286293264,39.5,56.9,-17.4,3,0,3,0,557
2025-04-26,0.9058333333333334,0.09416666666666666,0.08616666666666667,52.6325,53.0,49.0,51.0,54.0,56.0,47.3675,2.0373563493830766,1.892297286293264,39.5,56.9,-17.4,3,0,3,0,556
2025-04-27,0.9036666666666666,0.09633333333333334,0.092,52.529833333333336,53.0,49.0,51.0,54.0,56.0,47.470166666666664,2.4143170665529263,2.297332001041646,39.5,56.9,-17.4,3,0,3,0,555
2025-04-28,0.9003333333333333,0.09966666666666667,0.09266666666666666,52.53516666666667,53.0,49.0,51.0,54.0,56.0,47.46483333333333,2.41717458367724,2.297332001041646,39.5,56.9,-17.4,3,0,3,0,554
2025-04-29,0.9051666666666667,0.09483333333333334,0.09033333333333333,52.57833333333333,53.0,49.0,51.0,54.0,56.0,47.42166666666667,2.420027661321153,2.297332001041646,39.5,56.9,-17.4,4,0,3,0,553
2025-04-30,0.8986666666666666,0.10133333333333333,0.091,52.5205,53.0,48.0,51.0,54.0,56.0,47.4795,2.422876309822498,2.297332001041646,39.5,56.9,-17.4,4,0,3,0,552
2025-05-01,0.8978333333333334,0.10216666666666667,0.09233333333333334,52.54266666666667,53.0,48.0,51.0,54.0,56.0,47.45733333333333,2.4257205394870347,2.297332001041646,39.5,56.9,-17.4,4,0,3,0,551
2025-05-02,0.9013333333333333,0.09866666666666667,0.093,52.5275,53.0,49.0,51.0,54.0,56.0,47.4725,2.4285603605885755,2.297332001041646,39.5,56.9,-17.4,4,0,3,0,550
2025-05-03,0.897,0.103,0.09116666666666666,52.526666666666664,53.0,49.0,51.0,54.0,56.0,47.473333333333336,2.431395783369107,2.297332001041646,39.5,56.9,-17.4,4,0,3,0,549
2025-05-04,0.8978333333333334,0.10216666666666667,0.0875,52.528666666666666,53.0,49.0,51.0,54.0,56.0,47.471333333333334,2.434226818038917,2.297332001041646,39.5,56.9,-17.4,4,0,3,0,548
2025-05-05,0.9061666666666667,0.09383333333333334,0.08733333333333333,52.638,53.0,49.0,51.0,54.0,56.0,47.362,1.5187596313216702,1.381189392337817,39.5,56.9,-17.4,4,0,3,0,547
2025-05-06,0.9045,0.0955,0.0845,52.624833333333335,53.0,49.0,51.0,54.0,56.0,47.375166666666665,1.5223193355227085,1.381189392337817,39.5,56.9,-17.4,4,0,3,0,546
2025-05-07,0.8961666666666667,0.10383333333333333,0.08,52.644333333333336,53.0,49.0,51.0,54.0,56.0,47.355666666666664,1.3959513483743426,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,545
2025-05-08,0.9106666666666666,0.08933333333333333,0.08716666666666667,52.697833333333335,53.0,49.0,51.0,54.0,57.0,47.302166666666665,1.3996108447196671,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,544
2025-05-09,0.91,0.09,0.0785,52.67466666666667,53.0,49.0,51.0,54.0,56.0,47.32533333333333,1.4032646395982002,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,543
2025-05-10,0.9053333333333333,0.09466666666666666,0.0825,52.654666666666664,53.0,49.0,51.0,54.0,56.0,47.345333333333336,1.4069127463238311,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,542
2025-05-11,0.9125,0.0875,0.08283333333333333,52.689166666666665,53.0,49.0,51.0,54.0,56.0,47.310833333333335,1.4105551781690286,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,541
2025-05-12,0.912,0.088,0.08116666666666666,52.651,53.0,49.0,51.0,54.0,56.0,47.349,1.4141919483650007,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,540
2025-05-13,0.9073333333333333,0.09266666666666666,0.079,52.665333333333336,53.0,49.0,51.0,54.0,56.0,47.334666666666664,1.4178230701018557,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,539
2025-05-14,0.9128333333333334,0.08716666666666667,0.08566666666666667,52.68,53.0,49.0,51.0,54.0,56.0,47.32,1.4214485565287596,1.2601850907838883,39.5,56.9,-17.4,4,0,3,0,538
2025-05-15,0.9105,0.0895,0.08883333333333333,52.681666666666665,53.0,49.0,51.0,54.0,56.0,47.318333333333335,1.3846749462332293,1.2346719618822706,39.5,56.9,-17.4,4,0,3,0,537
2025-05-16,0.9121666666666667,0.08783333333333333,0.08016666666666666,52.66433333333333,53.0,49.0,51.0,54.0,56.0,47.33566666666667,1.3883327321782355,1.2346719618822706,39.5,56.9,-17.4,4,0,3,0,536
2025-05-17,0.9031666666666667,0.09683333333333333,0.08716666666666667,52.654666666666664,53.0,49.0,51.0,54.0,57.0,47.345333333333336,1.3919848356230184,1.2346719618822706,39.5,56.9,-17.4,4,0,3,0,535
2025-05-18,0.9146666666666666,0.08533333333333333,0.0835,52.688833333333335,53.0,49.0,51.0,54.0,56.0,47.311166666666665,1.395631269799248,1.2346719618822706,39.5,56.9,-17.4,4,0,3,0,534
2025-05-19,0.9106666666666666,0.08933333333333333,0.08666666666666667,52.642,53.0,49.0,51.0,54.0,56.0,47.358,1.3992720478975478,1.2346719618822706,39.5,56.9,-17.4,4,0,3,0,533
2025-05-20,0.9093333333333333,0.09066666666666667,0.08833333333333333,52.6495,53.0,49.0,51.0,54.0,56.0,47.3505,1.4029071830676507,1.2346719618822706,39.5,56.9,-17.4,4,0,3,0,532
2025-05-21,0.9126666666666666,0.08733333333333333,0.08383333333333333,52.654,53.0,49.0,51.0,54.0,56.0,47.346,1.556041616060074,1.4057907194122108,39.5,56.9,-17.4,4,0,3,0,531
2025-05-22,0.9023333333333333,0.09766666666666667,0.08483333333333333,52.57416666666666,53.0,49.0,51.0,54.0,56.0,47.42583333333334,1.5595618926129593,1.4057907194122108,39.5,56.9,-17.4,6,0,3,0,530
2025-05-23,0.9078333333333334,0.09216666666666666,0.084,52.638,53.0,49.0,51.0,54.0,56.0,47.362,1.5630767069486369,1.4057907194122108,39.5,56.9,-17.4,6,0,3,0,529
2025-05-24,0.9091666666666667,0.09083333333333334,0.084,52.6415,53.0,49.0,51.0,54.0,56.0,47.3585,1.5665860717703792,1.4057907194122108,39.5,56.9,-17.4,6,0,3,0,528
2025-05-25,0.9151666666666667,0.08483333333333333,0.08466666666666667,52.65566666666667,53.0,49.0,51.0,54.0,56.0,47.34433333333333,1.5700899997420978,1.4057907194122108,39.5,56.9,-17.4,6,0,3,0,527
2025-05-26,0.9041666666666667,0.09583333333333334,0.08733333333333333,52.627833333333335,53.0,49.0,51.0,54.0,56.0,47.372166666666665,1.573588503488495,1.4057907194122108,39.5,56.9,-17.4,6,0,3,0,526
2025-05-27,0.8898333333333334,0.11016666666666666,0.08866666666666667,52.41116666666667,52.0,48.0,51.0,54.0,56.0,47.58883333333333,3.122248835393222,3.033752985922721,39.5,56.9,-17.4,6,0,3,0,525
2025-05-28,0.8901666666666667,0.10983333333333334,0.0925,52.46,53.0,48.0,51.0,54.0,56.0,47.54,3.124560492651354,3.033752985922721,39.5,56.9,-17.4,9,0,3,0,524
2025-05-29,0.8913333333333333,0.10866666666666666,0.09533333333333334,52.434,53.0,49.0,51.0,54.0,56.0,47.566,3.1268685514945034,3.033752985922721,39.5,56.9,-17.4,9,0,3,0,523
2025-05-30,0.895,0.105,0.09366666666666666,52.496833333333335,53.0,49.0,51.0,54.0,56.0,47.503166666666665,3.129173020318283,3.033752985922721,39.5,56.9,-17.4,9,0,3,0,522
2025-05-31,0.893,0.107,0.09183333333333334,52.449666666666666,53.0,49.0,51.0,54.0,56.0,47.550333333333334,3.1314739074922087,3.033752985922721,39.5,56.9,-17.4,9,0,3,0,521
2025-06-01,0.8891666666666667,0.11083333333333334,0.09033333333333333,52.45283333333333,53.0,48.0,51.0,54.0,56.0,47.54716666666667,3.133771221359801,3.033752985922721,39.5,56.9,-17.4,9,0,3,0,520
